LONGITUDE,LATITUDE,RANK,CODIGO_IBGE,CODIGO_TSE,MUNICÍPIO_y,UF_y,TOTAL VOTOS VÁLIDOS,VENCEDOR,Tarcísio,Fernando Haddad,Rodrigo Garcia,Vinicius Poit,Elvis Cezar,Carol Vigliar,Gabriel Colombo,Altino,Antonio Jorge,Edson Dorta,VOTOS SOLTOS,PCT_SOLTOS,GSP
-46.64950708619905,-23.64635260623289,573,3550308,71072,SÃO PAULO,SP,6321002,Fernando Haddad,2057965,2804984,1183517,148421,71006,29269,15098,5661,3182,1899,1458053,23.1,True
-46.45475363262787,-23.40473470960008,205,3518800,64777,GUARULHOS,SP,639392,Tarcísio,261531,251353,100998,10417,9602,2975,1438,480,462,136,126508,19.8,True
-47.04531795883521,-22.882298079173243,101,3509502,62910,CAMPINAS,SP,594043,Tarcísio,274044,218272,79146,12085,5234,2613,1618,372,247,412,101727,17.1,False
-46.55044035684496,-23.813691537670106,555,3548708,70750,SÃO BERNARDO DO CAMPO,SP,447862,Fernando Haddad,144394,200752,83942,11376,3489,2451,864,330,195,69,102716,22.9,True
-45.92734959485769,-23.089196694242485,564,3549904,70998,SÃO JOSÉ DOS CAMPOS,SP,399491,Tarcísio,213519,116373,55845,8007,2804,1392,827,458,212,54,69599,17.4,False
-46.4461985735705,-23.725027348873933,529,3547809,70572,SANTO ANDRÉ,SP,398688,Fernando Haddad,149338,155087,76111,10505,3771,2399,936,263,182,96,94263,23.6,True
-46.79153790051012,-23.533139797151357,382,3534401,67890,OSASCO,SP,396063,Fernando Haddad,139041,158797,76688,8319,9553,2006,1021,311,245,82,98225,24.8,True
-47.449694666491105,-23.46574851005715,549,3552205,71455,SOROCABA,SP,360380,Tarcísio,184101,114808,49580,6188,3027,1500,793,169,128,86,61471,17.1,False
-47.821517808115594,-21.213668944579222,480,3543402,69698,RIBEIRÃO PRETO,SP,310185,Tarcísio,150509,99818,48876,5899,2647,1288,729,217,135,67,59858,19.3,False
-46.28945640683158,-23.86880333742198,536,3548500,70718,SANTOS,SP,245668,Tarcísio,113552,81488,41502,5132,1913,1144,633,130,121,53,50628,20.6,False
-49.35664399233146,-20.798004856174682,563,3549805,70971,SÃO JOSÉ DO RIO PRETO,SP,239043,Tarcísio,129687,53288,50429,3038,1310,627,462,107,67,28,56068,23.5,False
-46.91112586150886,-23.191729382648806,288,3525904,66192,JUNDIAÍ,SP,231665,Tarcísio,113581,62294,46721,5375,1921,991,507,109,112,54,55790,24.1,False
-46.61582070360729,-23.701841306239256,147,3513801,63770,DIADEMA,SP,229590,Fernando Haddad,65369,124083,31688,4037,2383,1353,398,162,79,38,40138,17.5,True
-46.18615422570718,-23.571533267061078,341,3530607,67130,MOGI DAS CRUZES,SP,220689,Tarcísio,90039,74996,47448,4054,2218,1116,467,149,152,50,55654,25.2,True
